   0.40818	  -0.14571	  89.64021	   2.83280	   1.17257	  -0.34561	   9.93404	   0.28826	63	34	93
   0.51012	  -0.18668	 188.98338	  -4.04623	   1.73657	  -0.57751	   9.03728	   0.63103	55	31	96
   0.45529	  -0.15549	 255.42802	  -5.13869	   0.82192	  -0.12903	  10.25519	   0.26276	69	41	100
   0.27705	  -0.08617	 367.99777	  -3.77294	   0.46836	  -0.00556	  10.59507	   0.19531	93	60	105
   0.48274	  -0.16939	  44.03509	   1.47383	   1.71416	  -0.52740	  21.97606	   0.08536	75	37	101
   0.31627	  -0.10793	 125.98637	   6.09150	   0.83134	  -0.19885	  19.48755	   0.55229	65	41	96
   0.70493	  -0.26829	 270.91489	   5.79562	   3.29487	  -1.22967	  20.91871	   0.38410	63	27	115
   0.59473	  -0.22323	 185.12209	   6.01200	   2.56215	  -0.93083	  26.13123	  -0.72149	58	28	82
   0.77097	  -0.26930	  45.05579	  -3.84810	   2.10276	  -0.56864	  29.99117	   0.41478	76	38	100
   0.73522	  -0.29973	 125.04900	   2.40982	   4.15462	  -1.73165	  29.18641	   0.40673	48	20	83
   0.58411	  -0.21550	 342.45050	  -3.83393	   2.22596	  -0.76614	  27.59624	   0.69017	61	30	92
   0.47464	  -0.15759	 248.91614	   1.28792	   1.49734	  -0.37688	  29.78065	   0.32928	93	46	115
   0.87529	  -0.30400	  59.18242	  -5.09996	   3.51936	  -1.10641	  45.43156	   0.48168	77	38	108
   0.58009	  -0.20410	 264.39978	  -0.82388	   1.94735	  -0.57918	  44.01493	   0.66323	69	37	98
   0.61124	  -0.20921	 339.13620	   0.02909	   2.07918	  -0.58413	  46.59415	   0.32466	69	41	97
   0.98826	  -0.36383	  73.43219	  16.03369	   3.99082	  -1.39127	  45.96560	   0.59122	68	30	88
   0.79435	  -0.29774	 164.35445	   8.84294	   2.58505	  -0.89325	  45.24986	   0.75191	51	28	79
   0.97412	  -0.32882	  93.93637	   8.38751	   2.74353	  -0.67745	  61.27164	   0.90469	61	43	93
   0.61296	  -0.19935	 151.44699	  10.91200	   0.71583	   0.03804	  62.59650	   0.45440	77	50	89
   0.50662	  -0.18448	 130.34824	   6.03662	   1.50830	  -0.47601	  60.81844	   1.20330	64	32	96
   0.91675	  -0.32986	  84.01902	 -13.60398	   3.09570	  -0.99994	  76.87072	   0.53344	67	33	89
   0.54482	  -0.18552	 285.03448	   5.25709	   1.37431	  -0.32285	  77.12556	   0.24990	73	42	89
   0.80868	  -0.28094	 177.40077	  14.57492	   2.76954	  -0.82928	  76.66922	   0.65057	78	38	94
   0.44851	  -0.14743	  87.54359	   6.11541	   0.92173	  -0.14474	  98.15305	   0.36998	94	48	94
   0.46683	  -0.16496	 303.58835	  -0.83717	   1.44113	  -0.42201	  97.35076	   0.57343	63	36	88
   0.65486	  -0.20952	 240.13229	 -20.97245	   1.18847	  -0.10044	 115.29713	  -3.14316	76	53	89
   0.67724	  -0.23327	 386.98636	  -5.16390	   1.67386	  -0.41891	  97.80892	   0.75871	90	40	90
   0.65765	  -0.22308	  24.75695	   5.13784	   1.99527	  -0.53293	 115.00375	   0.54594	97	42	97
   0.66509	  -0.24068	 119.04723	   4.40055	   2.69258	  -0.91188	 114.50102	   0.51846	65	33	93
   0.57737	  -0.18575	 283.75412	  -7.92491	   0.72592	   0.04038	 113.28992	   0.91399	88	52	88
   0.48726	  -0.18444	 335.22382	   5.05166	   1.74514	  -0.62187	 114.14899	   0.50608	57	27	81
   0.16465	  -0.01175	 219.82889	  -4.44329	   1.55460	  -0.44373	 114.81178	   0.65768	53	31	82
   0.57599	  -0.19523	 308.37759	   1.48398	   1.25134	  -0.25500	 114.23106	   0.82914	72	42	89
   0.72609	  -0.26996	  74.25938	  -1.62516	   2.91748	  -1.03132	 139.89911	  -0.02980	60	29	89
   0.53184	  -0.18301	 112.35439	   2.69748	   1.61950	  -0.44795	 136.53241	   0.72710	67	40	90
   0.47218	  -0.15514	 186.95358	  -0.79863	   0.73297	  -0.04111	 137.74899	   0.51127	72	48	82
   0.41126	  -0.14200	 288.08771	  -0.57434	   0.84917	  -0.18025	 137.36647	   0.47071	66	39	86
   0.73043	  -0.24613	 240.41986	   2.19350	   1.30257	  -0.19336	 136.84288	   1.11436	88	43	88
   0.44145	  -0.13570	 336.40576	  -4.38582	   1.06053	  -0.18804	 137.84290	   0.61821	56	33	88
